date,category,amount,description
2026-06-26,Subscriptions-Software/Digital,21.2,Netflix
2026-06-26,Shopping-General Merchandise,53.28,Walmart
2026-06-29,Rent,2150,Property Management Co.
2026-06-29,Travel-Lodging/Booking,6.7,Delta Air Lines
2026-06-29,Gifts & Donations,11,Etsy Gift Purchase
2026-06-29,Automotive-Maintenance/Registration,222.01,Firestone Auto Care
2026-06-29,Groceries,92.45,Giant Food
2026-06-29,Groceries,15.89,Trader Joe's
2026-06-30,Transportation,7.39,Uber
2026-06-30,Transportation,36.97,Lyft
2026-06-30,Transportation,70,Metro Transit Fare
2026-06-30,Utilities/Lawn Service,217.13,GreenScape Lawn Care
2026-06-30,Insurance,265.9,Geico Insurance
2026-07-01,Transportation,8.95,EZPass Toll Charge
2026-07-02,Gifts & Donations,23.2,Amazon Gift Order
2026-07-03,Gifts & Donations,30,Red Cross Donation
2026-07-03,Groceries,23.47,Safeway
2026-07-03,Automotive-Maintenance/Registration,854.39,Jiffy Lube
2026-07-03,Health,5,Family Medical Clinic
2026-07-03,Card Fees/Credits/Interest,30,Late Payment Fee
2026-07-03,Shopping-General Merchandise,190.78,Best Buy
2026-07-06,Family Support,450,Zelle to M.
2026-07-06,Shopping-General Merchandise,44.41,Amazon.com
2026-07-06,Shopping-General Merchandise,30.15,Target
2026-07-06,Shopping-General Merchandise,42.39,Walmart
2026-07-06,Shopping-General Merchandise,25.15,Best Buy
2026-07-06,Family Support,3000,Zelle to R.
2026-07-06,Automotive-Maintenance/Registration,133,DMV Registration Renewal
2026-07-07,Insurance,543.6,Allstate Homeowners Policy
2026-07-07,Family Support,1804.11,Family Support Transfer
2026-07-07,Family Support,62.33,Zelle to M.
2026-07-07,Shopping-General Merchandise,13.7,Amazon.com
2026-07-07,Gifts & Donations,22,Local Charity Drive
2026-07-08,Health,13.4,Dental Associates
2026-07-09,Shopping-General Merchandise,28.61,Target
2026-07-12,Shopping-General Merchandise,4.95,Walmart
2026-07-13,Subscriptions-Software/Digital,0.99,Spotify Premium
2026-07-13,Local/Misc,20.91,Corner Pharmacy
2026-07-13,Cash Withdrawal,40,ATM Withdrawal - Chase
2026-07-13,Utilities/Lawn Service,32.47,Dominion Energy
2026-07-13,Shopping-General Merchandise,7.94,Best Buy
2026-07-14,Utilities/Lawn Service,59.03,Comcast/Xfinity
2026-07-14,Utilities/Lawn Service,222.47,County Water Authority
2026-07-15,Groceries,65.46,Whole Foods Market
2026-07-16,Cash Withdrawal,240,ATM Withdrawal - Bank of America
2026-07-16,Subscriptions-Software/Digital,40,Adobe Creative Cloud
2026-07-16,Subscriptions-Software/Digital,14.95,Microsoft 365
2026-07-17,Utilities/Lawn Service,99.78,GreenScape Lawn Care
2026-07-20,Gifts & Donations,8,Etsy Gift Purchase
2026-07-20,Subscriptions-Software/Digital,21.2,Netflix
2026-07-20,Subscriptions-Software/Digital,21.2,Spotify Premium
2026-07-20,Subscriptions-Software/Digital,10,Adobe Creative Cloud
2026-07-20,Gifts & Donations,100,Amazon Gift Order
2026-07-20,Utilities/Lawn Service,139.04,Dominion Energy
2026-07-21,Utilities/Lawn Service,253.3,Comcast/Xfinity
2026-07-22,Utilities/Lawn Service,74.99,County Water Authority
2026-07-23,Utilities/Lawn Service,33.02,GreenScape Lawn Care
2026-07-23,Utilities/Lawn Service,226.2,Dominion Energy
2026-07-23,Shopping-General Merchandise,12.99,Amazon.com
2026-07-23,Subscriptions-Software/Digital,5,Microsoft 365
2026-07-23,Shopping-General Merchandise,13.75,Target
2026-07-23,Groceries,19.44,Giant Food
2026-07-23,Transportation,2.83,Uber
2026-07-24,Subscriptions-Software/Digital,10.59,Netflix
